Title,Conference
Distributed Implementation of Real-Time Resource Counters,INFOCOM
Exploring social annotations for the semantic web,WWW
Deriving Production Rules for Constraint Maintainance,VLDB
Robust feature selection and robust PCA for internet traffic anomaly detection,INFOCOM
"Retrieving and Organizing Web Pages by Information Unit""""etrieving and Or""",WWW
Combined WDM and SONET Network Design,INFOCOM
Orthogonal digital filters for VLSI implementation,ISCAS
A Note on the Survey: ``Future of Database Technology,VLDB
Data Bases for Software Development,VLDB
Discovering Web Document Associations for Web Site Summarization,WWW
Seeing the Whole in Parts: Text Summarization for Web Browsing on Handheld Devices,WWW
Efficient Distributed CQ Processing using Peers,WWW
Pose space deformation: a unified approach to shape interpolation and skeleton-driven deformation,SIGGRAPH
French government activity in the conservation of data and electronic documents,VLDB
Time domain analysis of uniformly coupled lossy transmission lines with arbitrary loads,ISCAS
Compatible coding of digital interlaced HDTV,ISCAS
Exploring chaos in Chua's circuit via unstable periodic orbits,ISCAS
Content based photograph slide show with incidental music,ISCAS
Scholarly publishing and argument in hyperspace,WWW
Effects of Database Size on Rule System Performance: Five Case Studies,VLDB
The Unified Modeling Language User,WWW
Piazza: data management infrastructure for semantic web applications,WWW
Refining Top- Selection Queries based on User Feedback,VLDB
Extraction and search of chemical formulae in text documents on the web,WWW
Frequency tuning loop for VCOs,ISCAS
Why We Need Gigabit Networks,INFOCOM
Multipoint Connection Management in High Speed Networks,INFOCOM
A word at a time: computing word relatedness using temporal semantic analysis,WWW
Automatic Design of Transparent Standard Cells with TRANSCAD II,ISCAS
Least Cost Routing in Multiple-Service Networks,INFOCOM
Xyleme Query Architecture,WWW
Discovering co-located queries in geographic search logs,WWW
Cache Conscious Algorithms for Relational Query Processing,VLDB
Hyperstructure Maintenance Costs in Large-scale Wikis,WWW
A System for Keyword Proximity Search on XML Databases,VLDB
Language Constructs for Programming Active Databases,VLDB
A Practical Issue Concerning Very Large Data Bases: The Need for Query Governors,VLDB
Automated TES Modeling of Compressed Video,INFOCOM
Surface reconstruction from unorganized point clouds,SIGGRAPH
Tetrad volume and particle rendering in X2,SIGGRAPH
Distributed Search over the Hidden Web: Hierarchical Database Sampling and Selection,VLDB
How to cheat and get away with it: what computer graphics can learn from perceptual psychology,SIGGRAPH
A Message-Optimal Protocol for Global Surveys in Faulty Networks,INFOCOM
QoS-Based Multicast Routing for Distributing Layered Video to Heterogeneous Receivers in Rate-based Networks,INFOCOM
Handling Data Skew in Multiprocessor Database Computers Using Partition Tuning,VLDB
Efficient Over-the-cell Routing Algorithm for General Middle Terminal Model,ISCAS
Temporal Slicing in the Evaluation of XML Queries,VLDB
Time Scale Analysis of Explicit Rate Allocation in ATM Networks,INFOCOM
Scientific OLAP for the Biotech Domain,VLDB
QuickTime VR: an image-based approach to virtual environment navigation,SIGGRAPH
The XML web: a first study,WWW
Indexing XML Data Stored in a Relational Database,VLDB
Towards an Optimal Data-Structure: CB-trees,VLDB
Complex discriminative learning Bayesian neural equalizer,ISCAS
HiFi: A Unified Architecture for High Fan-in Systems (System Demonstration),VLDB
A 3-V 1-GHz Low-Noise Bandpass Amplifier,ISCAS
Global visibility algorithms for illumination computations,SIGGRAPH
A Server Array Approach for Video-On-Demand Service on Local Area Networks,INFOCOM
Vertical Data Migration in Large Near-Line Document Archives Based on Markov-Chain Predictions,VLDB
A Combined Framework for Grouping and Order Optimization,VLDB
A family of CMOS latches with 3 stable operating points,ISCAS
"International Workshop on Context Enabled Source and Service Selection, Integration and Adaptation: workshop summary",WWW
Effective removal of detail for a multi-resolution viewer,SIGGRAPH
A Scalable System for Consistently Caching Dynamic Web Data,INFOCOM
A New Set of Complementary Subband Filters with Sharp Band Characteristics,ISCAS
Optimal design of digital IIR filters by model-fitting frequency response data,ISCAS
Architecture design of MDCT-based psychoacoustic model co-processor in MPEG advanced audio coding,ISCAS
Flow Labelled IP: Connectionless ATM Under IP ,INFOCOM
Advances in adaptive orthogonal filtering with applications to source localization,ISCAS
Software Tools for Virtual Reality Application Development,SIGGRAPH
On the Fundamental Tradeoffs between Routing Table Size andNetwork Diameter in Peer-to-Peer Networks,INFOCOM
Virtual Voyage: interactive voyage in human colon,SIGGRAPH
Finding experts and their eetails in e-mail corpora,WWW
Video Rewrite: driving visual speech with audio,SIGGRAPH
Usage-Based Pricing of Packet Data Generated by a Heterogeneous User Population,INFOCOM
Area-Power Efficient Lifting-Based DWT Hardware for Implantable Neuroprosthetics,ISCAS
Clustering user queries of a search engine,WWW
APPEARANCE-PRESERVING SIMPLIFICATION OF POLYGONAL MODELS,SIGGRAPH
Texture mapping progressive meshes,SIGGRAPH
Inferring Reputation on the Semantic Web,WWW
Enhanced multiple Huffman table (MHT) encryption scheme using key hopping,ISCAS
Minimum Maximum Degree Publish-Subscribe Overlay Network Design,INFOCOM
Object-level ranking: bringing order to web objects,WWW
Improving pseudo-relevance feedback in web information retrieval using web page segmentation,WWW
Se-curing positioning with covert base stations,INFOCOM
A Wrapper Architecture for Legacy Data Sources1,VLDB
Semantic web integration of cultural heritage sources,WWW
CMOS pulse-modulation circuit implementation of phase-locked loop neural networks,ISCAS
Modeling and rendering of metallic patinas,SIGGRAPH
Transform domain motion estimation without macroblock-based repetitive padding for MPEG-4 video,ISCAS
Measuring the web crawler ethics,WWW
Finding Topics in Dynamical Text: Application to Chat Line Discussions,WWW
A Delay and Loss Versatile Scheduling Discipline in ATM Switches,INFOCOM
Hardware Acceleration in Commercial Databases: A Case Study of Spatial Operations,VLDB
Simulating facial surgery using finite element models,SIGGRAPH
MAC-layer Time Fairness across Multiple Wireless LANs,INFOCOM
"Active Storage Hierarchy, Database Systems and Applications - Socratic Exegesis",VLDB
Scalable discovery of contradictions on the web,WWW
Estimation of Congestion Price Using Probabilistic Packet Marking,INFOCOM
Efficient algorithms for local and global accessibility shading,SIGGRAPH
Session-Based Overload Control in QoS-Aware Web Servers,INFOCOM
Managing Intra-operator Parallelism in Parallel Database Systems,VLDB
Modelling and Querying Video Data,VLDB
Inferring private information using social network data,WWW
Queue-Length Distributions for Multi-Priority Queueing Systems,INFOCOM
DBMSs on a Modern Processor: Where Does Time Go?,VLDB
Full Adder-based Inner Product Step Processors for Residue and Quadratic Residue Number Systems,ISCAS
Spacetime constraints revisited,SIGGRAPH
VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,VLDB
A Technique to Improve the Convergency Speed of Relaxation-based Simulations in Tightly Coupled Circuits,ISCAS
A direct-conversion mixer with DC-offset cancellation for IEEE 802.11a WLAN receiver,ISCAS
A current-mode continuous-time Sigma-Delta modulator with delayed return-to-zero feedback,ISCAS
A Comparative Study of High Speed Networks,INFOCOM
Combining RDF and XML schemas to enhance interoperability between metadata application profiles,WWW
Design and Analysis of a Hybrid Access Control to an Optical Star Using WDM,INFOCOM
Offering open hypermedia services to the WWW: a step-by-step approach for developers,WWW
Personalizing web sites for mobile users,WWW
Inter-institutional Collaborative Teaching in the Virtual School of Biodiversity,WWW
Trellis-Based Deconvolution of Ultrasonic Echoes,ISCAS
Analyzing Quantitative Databases: Image is Everything,VLDB
MERLIN - Design of a National Bibliographic Database,VLDB
Packet Scale Rate Guarantee for non-FIFO Nodes,INFOCOM
Miro Web: Integrating Multiple Data Sources through Semistructured Data Types,VLDB
Database Security,VLDB
RLCSYN: RLC Equivalent Circuit Synthesis for Structure-Preserved Reduced-order Model of Interconnect,ISCAS
Cloud 21,SIGGRAPH
Stability of a Multicast Tree,INFOCOM
Block loss recovery in DCT image encoding using POCS,ISCAS
Local Disk Caching for Client-Server Database Systems,VLDB
View Management in Distributed Data Base Systems,VLDB
Extending relational database functionality with data inconsistency resolution support,VLDB
"AQuery: Query Language for Ordered Data, Optimization Techniques, and Experiments",VLDB
Testing google ionterfaces modified for the blind,WWW
H.  26L-based fine granularity scalable video coding,ISCAS
Exploiting MIMO antennas in cooperative cognitive radio networks,INFOCOM
The Generalized MDL Approach for Summarization,VLDB
Fast Routing Table Lookup Using CAMs,INFOCOM
The Analysis of the Effects of Concurrency Control on Distributed Database System Performance,VLDB
Object-space point blending and splatting,SIGGRAPH
"Computer graphics, are we forcing people to evolve?",SIGGRAPH
Optical Distribution Channel: An 'Almost-all' Optical LAN Based on the Field-coding Technique,INFOCOM
Selective hypertext induced topic search,WWW
A smart hill-climbing algorithm for application server configuration,WWW
Modeling Issues on an ATM Multiplexer Within a Bursty Traffic Environment,INFOCOM
Creating dome animations with the Digital Pueblo Project,SIGGRAPH
An Optimal Local Policy for Two-Level Adaptive Routing in Computer Networks,INFOCOM
Scalable integration and processing of linked data,WWW
New switch-mode topology for VAR compensation,ISCAS
Spatial variation in search engine queries,WWW
Visibility Culling Using Hierarchical Occlusion Maps,SIGGRAPH
Transformations in architectural design,SIGGRAPH
Adaptive bilinear filtering,ISCAS
LB_Keogh Supports Exact Indexing of Shapes under Rotation Invariance with Arbitrary Representations and Distance Measures,VLDB
Integrity Maintenance in Object-Oriented Databases,VLDB
Fast specular highlights by modifying the Phong-Blinn model,SIGGRAPH
Delay-guaranteed interactive multiview video streaming,ISCAS
Concurrent Operations in Extendible Hashing,VLDB
WebKB-2: Cooperatively-built Knowledge Bases on the WWW,WWW
Low-power state assignment techniques for finite state machines,ISCAS
Modern approaches to augmented reality,SIGGRAPH
Polynomial texture maps,SIGGRAPH
Spectral compression of mesh geometry,SIGGRAPH
From a laguna to open waters: Another view on the next generations of databases,VLDB
Segment-based proxy caching of multimedia streams,WWW
A novel clustering-based RSS aggregator,WWW
Towards a Common Infrastructure to Support Heterogeneous Learning Experiences,WWW
Communicating with Virtual Paths and Virtual Channels,INFOCOM
ArtDefo - Accurate Real Time Deformable Objects,SIGGRAPH
Dynamic Traffic Control Using Feedback and Traffic Prediction in ATM Networks,INFOCOM
A non-syntactic approach for text sentiment classification with stopwords,WWW
Oblique projector rendering on planar surfaces for a tracked user,SIGGRAPH
Highly linear wide tuning range CMOS transconductor operating in moderate inversion,ISCAS
Trust analysis with clustering,WWW
Comparative Analysis of XML Compression Technologies,WWW
Tails of Stationary Distributions of Queued Work,INFOCOM
Performance Analysis of a Packet Voice Messaging System,INFOCOM
Low-Power FIR Digital Filter Architectures,ISCAS
Improved TDOA disambiguation techniques for sound source localization in reverberant environments,ISCAS
WS-replication: a framework for highly available web services,WWW
A novel mismatch cancellation and I/Q channel multiplexing scheme for quadrature bandpass Ã_â€ùÃ_Â£ modulators,ISCAS
Database Research Strategies of Funding Agencies (Panel),VLDB
Query Transformation for PSJ-Queries,VLDB
An OAI Approach to Sharing Subject Gateway Content,WWW
Automatic Classification of Office Documents by Coupling Relational Data Bases and PROLOG Expert Systems,VLDB
FoleyAutomatic: physically-based sound effects for interactive simulation and animation,SIGGRAPH
OASIS: An Online and Accurate Technique for Local-alignment Searches on Biological Sequences,VLDB
"The digital space shuttle, 3D graphics, and knowledge management",SIGGRAPH
"A nose-tracked, personal olfactory display",SIGGRAPH
Database Support for Knowledge-Based Image Evaluation,VLDB
A Web Service Market Model based on Dependencies,WWW
Common Channel Priority Acknowledgement Schemes for Carrier Sense Cable Systems,INFOCOM
Single Miller capacitor compensated multistage amplifiers for large capacitive load applications,ISCAS
Generalized fact-finding,WWW
Analysis of MPEG-1 Transmission through B-ISDN ATM Networks,INFOCOM
Design of residue-to-binary converter for a new 5-moduli superset residue number system,ISCAS
Interlaced Sampling for Noise Reduction,ISCAS
NeuroRule: A Connectionist Approach to Data Mining,VLDB
View-dependent simplification of arbitrary polygonal environments,SIGGRAPH
AniPQO: Almost Non-intrusive Parametric Query Optimization for Nonlinear Cost Functions,VLDB
Locking and Recovery in a Shared Database System: An Application Programming Tutorial,VLDB
Re-Routing in Circuit Switched Networks,INFOCOM
1-Safe Algorithms for Symmetric Site Configurations,VLDB
Adaptive Sites: Automatically Learning from User Access Patterns,WWW
Optimistic Methods for Concurrency Control in Distributed Database Systems,VLDB
Making XML Schema Easier to Read and Write,WWW
The BT-Tree: A Branched and Temporal Access Method,VLDB
A declarative framework for semantic link discovery over relational data,WWW
Characterization of ADCs Using a Non-Iterative Procedure,ISCAS
Admission Control Schemes for Bursty Multimedia Traffic,INFOCOM
RecoveringHigh Dynamic Range Radiance Maps from Photographs,SIGGRAPH
Modular scheduling constraint specification,ISCAS
Feature-based volume metamorphosis,SIGGRAPH
FRESHMIX: a study in user interaction with dynamic content,SIGGRAPH
Intra-cloud lightning: Building CDNs in the cloud,INFOCOM
Camera-less Smart Laser Projector,SIGGRAPH
Graph-based concept identification and disambiguation for enterprise search,WWW
Incorporating XSL Processing into Database Engines,VLDB
X3D-edit authoring for extensible 3D (X3D) graphics,SIGGRAPH
The two cultures: mashing up web 2.0 and the semantic web,WWW
Multidatabase Applications: Semantic and System Issues,VLDB
HyLiEn: a hybrid approach to general list extraction on the web,WWW
"FPAC: Fast, Fixed-Cost Authentication for Access to Reserved Resources",INFOCOM
A comparison of prediction schemes proposed for a new lossless image compression standard,ISCAS
Wires: a geometric deformation technique,SIGGRAPH
Free-form deformations with lattices of arbitrary topology,SIGGRAPH
Distributed nonnegative matrix factorization for web-scale dyadic data analysis on mapreduce,WWW
Comments on the Performance of Measurement-Based Admission Control Algorithms,INFOCOM
Power Constrained and Delay Optimal Policies for Scheduling Transmission over a Fading Channel,INFOCOM
Partial differential equation models for continuous multidimensional systems,ISCAS
A neural network approach for robust dynamical control of robot manipulators,ISCAS
An Application of Superpositions of Two-State Markovian Sources to the Modelling of Self-Similar Behaviour,INFOCOM
Simplification Envelopes,SIGGRAPH
A Simple QoS Signaling Protocol for Mobile Hosts in the Integrated Services Internet,INFOCOM
Digital Media Knowledge Management with MPEG-7,WWW
A high throughput adaptive DFE for HIPERLAN,ISCAS
Basic-Evolutive Algorithms for Neural Networks Architecture Configuration and Training,ISCAS
High-Performance IIR QMF Banks for Speech Subband Coding,ISCAS
Queuing Analysis in Multichannel Cognitive Spectrum Access: A Large Deviation Approach,INFOCOM
Scalable routing in 3D high genus sensor networks using graph embedding,INFOCOM
Equip tourists with knowledge mined from travelogues,WWW
Interactive multi-pass programmable shading,SIGGRAPH
Supporting a Semantic Data Model in a Distributed Database System,VLDB
Applications of irradiance tensors to the simulation of non-Lambertian phenomena,SIGGRAPH
Efficient IR-Style Keyword Search over Relational Databases,VLDB
Obtaining Progressive Protocols for a Simple Multiversion Database Model,VLDB
Complexity scalable MPEG-2 to WMV transcoder with adaptive error compensation,ISCAS
Application of radiation mode in desired sound field generation using loudspeaker array,ISCAS
"Schemapath, a minimal extension to xml schema for conditional constraints",WWW
Casual 3D photography,SIGGRAPH
Crosslanguage blog mining and trend visualisation,WWW
Flash finally hits the big screen,SIGGRAPH
Real-time view morphing of video streams,SIGGRAPH
A comment on the approximation of signals by Gaussian functions,ISCAS
A 1-V 400MS/s 14bit self-calibrated CMOS DAC with enhanced dynamic linearity,ISCAS
Computer-generated pen-and-ink illustration,SIGGRAPH
Stochastic Bounds on Delays of Fair Queueing Algorithms,INFOCOM
A 1.5 V linear transconductor with wide bandwidth and wide input and output signal swings,ISCAS
PRTV: An Efficient Implementation for Large Relational Data Bases,VLDB
A fast polymesh to level set algorithm,SIGGRAPH
E cient ltering of XML docu-ments for selective dissemination,VLDB
How Bad is NaÃƒÂ¯ve Multicast Routing?,INFOCOM
Value-Based Notification Conditions in Large-Scale Publish/Subscribe Systems,VLDB
Fourth international workshop on adversarial information retrieval on the web (AIRWeb 2008),WWW
Framework for the Security Component of an Ada DBMS,VLDB
A study on combination of block importance and relevance to estimate page relevance,WWW
Nonlinear oscillations produced in complex Josephson circuits,ISCAS
MetaRing Fairness Control Schemes in All-Optical WDM Rings,INFOCOM
Intelligent crawling on the World Wide Web with arbitrary predicates,WWW
An accurate statistical yield model for CMOS current-steering D/A converters,ISCAS
ZoomRDF: semantic fisheye zooming on RDF data,WWW
MTCP: scalable TCP-like congestion control for reliable multicast q,INFOCOM
Distributed Linear Hashing and Parallel Projection in Main Memory Databases,VLDB
"Trio: A System for Data, Uncertainty, and Lineage",VLDB
On Multidimensional Linear Phase Perfect Reconstruction Filter Banks,ISCAS
Turbulent wind fields for gaseous phenomena,SIGGRAPH
Using Flexible Transactions to Support Multi-System Telecommunication Applications,VLDB
Strange Behavior in Inifinite and Transfinite Networks,ISCAS
A High Speed Integrated Services Switch Based on 4 Ãƒâ€” 4 Switching Elements,INFOCOM
A flexible learning system for wrapping tables and lists in HTML documents,WWW
An adaptive video sub-sampling technique for the conversion between high and low resolution,ISCAS
From Data Independence to Knowledge Independence: An on-going Story,VLDB
A Buffer Management Scheme for the SCOQ Switch Under Nonuniform Traffic Loading,INFOCOM
Trovatore: Towards a Highly Scalable Distributed Web Crawler,WWW
Concurrent Switch-Level Timing Simulation Based on Waveform Relaxation,ISCAS
Neuroanimator: Fast neural network emulation and control of physics-based models,SIGGRAPH
Adapting simulated behaviors for new characters,SIGGRAPH
Automatic video segmentation using a novel background model,ISCAS
Implicit fairing of irregular meshes using diffusion and curvature flow,SIGGRAPH
Enhancing P2P file-sharing with an internet-scale query processor,VLDB
Rendering with concentric mosaics,SIGGRAPH
Integration of Time Versions into a Relational Database System,VLDB
A general construction scheme for unit quaternion curves with simple high order derivatives,SIGGRAPH
View interpolation for image synthesis,SIGGRAPH
Measurement-Based Optimization Techniques for Bandwidth-Demanding Peer-to-Peer Systems,INFOCOM
A 5th Order Bilinear Switched-current Chebyshev Filter,ISCAS
Collision Avoidance and Resolution Multiple Access for Multichannel Wireless Networks,INFOCOM
An Integrated Smart Sensor for Flow and Temperature with I2C Bus Interface: FTS2,ISCAS
Design and Implementation of Cosine-Modulated Dimensional Perfect Reconstruction FIR Filter Banks,ISCAS
Mobile Content Transformation using XSLT and its Evaluation,WWW
Analytical methods for dynamic simulation of non-penetrating rigid bodies,SIGGRAPH
Graph based crawler seed selection,WWW
Unparsing RDF/XML,WWW
Using New Clues to Find Data,VLDB
Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,VLDB
A content and structure website mining model,WWW
Semantic web applications to e-science in silico experiments,WWW
Performance of Reservation Based (Quadro) WDM Star Networks,INFOCOM
Time Series Models for Internet Traffic,INFOCOM
Compact 0-Complete Trees,VLDB
"Camera control in computer graphics: models, techniques and applications",SIGGRAPH
Performance Analysis of a Multicast Switch Based on Multistage Interconnection Networks,INFOCOM
The structure of broad topics on the web,WWW
Linking content in unstructured sources,WWW
Adaptive push-pull: disseminating dynamic web data,WWW
Image analogies,SIGGRAPH
An Analytic Approach to Statistical Databases,VLDB
Proxy-based Distribution of Streaming Video over Unicast/Multicast Connections,INFOCOM
Sampling plausible solutions to multi-body constraint problems,SIGGRAPH
Feature-based control of visibility error: a multi-resolution clustering algorithm for global illumination,SIGGRAPH
"Simulation, verification and automated composition of web services",WWW
FORAL LP: Design and Implementation,VLDB
A General Translinear Principle for Subthreshold MOS Transistors,ISCAS
Parallel modular multiplication with application to VLSI RSA implementation,ISCAS
Why is 3-D interaction so hard and what can we really do about it?,SIGGRAPH
On a Scalable Topology for Lightwave Networks,INFOCOM
Energy Efficient TDMA Sleep Scheduling in Wireless Sensor Networks,INFOCOM
Fast control grid point estimation for mesh based motion estimation,ISCAS
Understanding the Performance of TCP Pacing,INFOCOM
Integration Through Meta-Communication,INFOCOM
Modulated 2 Dimensional Perfect Reconstruction FIR Filter Banks with Permissible Passbands,ISCAS
The distribution of pageRank follows a power-law only for particular values of the damping factor,WWW
Some Large Questions about Very Large Data Bases,VLDB
Mobile power management for maximum battery life in wireless communication networks,INFOCOM
Muliplierless Realization Structure of Adaptive Filters by Nonuniform Quantization of Input Signal,ISCAS
Reducing the Braking Distance of an SQL Query Engine,VLDB
"A Comparative Study of Multicast Protocols: Top, Bottom, or In the Middle?",INFOCOM
Report on semantic web for health care and life sciences workshop,WWW
Dual-Buffering Strategies in Object Bases,VLDB
Consequences of stratified sampling in graphics,SIGGRAPH
"IncreTable, bridging the gap between real and virtual worlds",SIGGRAPH
Automatic reconstruction of B-spline surfaces of arbitrary topological type,SIGGRAPH
Analyzing client interactivity in streaming media,WWW
Online mining of frequent query trees over XML data streams,WWW
"3D position, attitude and shape input using video tracking of hands and lips",SIGGRAPH
Synchronization of Chaotic Systems Through Parameter Adaptation,ISCAS
Turkalytics: analytics for human computation,WWW
Design of Thermal Sigma-Delta Modulators for Smart Thermal Sensors,ISCAS
Reconstruction and representation of 3D objects with radial basis functions,SIGGRAPH
Distributed Resource Allocation for Synchronous Fork and Join Processing Networks,INFOCOM
Ranking related entities for web search queries,WWW
Finding the boundaries of information resources on the web,WWW
Efficient Reactive Monitoring,INFOCOM
Using Back-Pressure to Improve TCP Performance with Many Flows,INFOCOM
Online expansion of rare queries for sponsored search,WWW
vMOS-based sorters for multiplier implementations,ISCAS
In-air typing interface for mobile devices with vibration feedback,SIGGRAPH
Modeling redirection in geographically diverse server sets,WWW
THD+Noise Estimation in Class-D Amplifiers,ISCAS
Log-Domain Filters Based on LC Ladder Synthesis,ISCAS
Elena: A Mediation Infrastructure for Educational Services,WWW
Pascal Visual Object Classes Challenge Results,WWW
Fast calculation of the coefficients of the generalized McClellan transform in 2-D FIR filter design,ISCAS
A pruning-based approach for supporting Top-K join queries,WWW
A real-time procedural shading system for programmable graphics hardware,SIGGRAPH
Advanced technologies for virtual environments,SIGGRAPH
Interactive inspection of solids: cross-sections and interferences,SIGGRAPH
A Multi-Gbit/s Optical LAN Utilizing a Passive WDM Star: Towards an Experimental Prototype,INFOCOM
"An Approach to Pricing, Optimal Allocation and Quality of Service Provisioning in High-Speed Packet Networks",INFOCOM
Multiresolution approach to solving diffusion equation for edge detection,ISCAS
Evaluating a new approach to strong web cache consistency with snapshots of collected content,WWW
Verify Feature Models using protegeowl,WWW
A Spatial Schur Type LS Algorithm and Its Pyramid Systolic Array Implementation,ISCAS
Query-free news search,WWW
Virtual voyage: interactive navigation in the human colon,SIGGRAPH
Sparse lumigraph relighting by illumination and reflectance estimation from multi-view images,SIGGRAPH
Multiscale Histograms: Summarizing Topological Relations in Large Spatial Datasets,VLDB
Fault Detection in Linear Bipolar ICs: Comparative Results Between Power Supply Current and Output Voltage Measurements,ISCAS
Filtering with Approximate Predicates,VLDB
A teapot graph and its hierarchical structure of the chinese web,WWW
Statement for the Session on Impact of New Technologies,VLDB
Brain activity underlying third person and first person perspective training in virtual environments,SIGGRAPH
XML-driven Exploitation of Combined Scalability in Scalable H.264/AVC Bitstreams,ISCAS
Performance optimization for high-order continuous-time Ã_Â£Ã_â€ù modulators with extra loop delay,ISCAS
Mean FDE Models for Internet Congestion Control Under a Many-Flows Regime,INFOCOM
Bio-inspired massively parallel architectures for nanotechnologies,ISCAS
Approximation of Inverse Maps through RBF Neural Networks,ISCAS
"Generating realistic human hair for The Matrix Reloaded""""""enerating realistic """,SIGGRAPH
Optimal Selection of Multicast Groups for Resource Location on a Distributed System,INFOCOM
The Changing Landscape of the Software Industry and its Implications for India,VLDB
